PIN,MICRO,ATMEL,C_PIN,PIN_ID (Correct),MICRO-Fac,ATMEL-Fac,Used
left,,,,,,,
1,MOSI,PB2,16,,,,
2,RXLED/SS,PB0,17,,LED YEL,,
3,D1,PD3,1,1,TX ,IR,
4,D0,PD2,0,0,RX,IR,
5,RESET,,,-1,,,
6,GND,,,-1,,,
7,D2,PD1,2,2,SDA,IR,B_NAP
8,D3,PD0,3,3,SCL/PWM,IR,B_DCF
9,D4,PD4,4,4,,,
10,D5,PC6,5,5,PWM,PWM T3A/T4-A,
11,D6,PD7,6,6,PWM,PWM T4D,
12,D7,PE6,7,7,,,
13,IO8,PB4,8,8,,,
14,IO9,PB5,9,9,PWM,PWM T1A/T4-B,
15,IO10,PB6,10,10,PWM,PWM T1B/T4A,BUZZER
16,IO11,PB7,11,11,PWM,PWM T0A/T1C,RELAY
17,IO12,PD6,12,12,,PWM T4-D,B_SNOZ
right,,,,,,,
34,SCK,PB1,15,-1,,,
33,MISO,PB3,14,-1,,,
32,VIN, -,,-1,ex 5V,,
31,GND,,,-1,,,GND
30,RESET,,,-1,,,
29,5V,,,-1,LED BLU,,VCC
28,nc,,,-1,,,
27,nc,,,-1,,,
26,A5,PF0,23,19,,,B_RELAY
25,A4,PF1,22,18,,,B_SHOW
24,A3,PF4,21,17,,,B_ALARM
23,A2,PF5,20,16,,,B_SET
22,A1,PF6,19,15,,,B_MIN
21,A0,PF7,18,14,,,B_HOUR
20,AREF,AREF,,-,,,
19,3V3,,,-,,,
18,IO13,PC7,13,13,LED GRN/PWM,PWM T4A,
,,,,,,,
,TXLED,PD5,?TXLED,,LED YEL2,,
,HWB,PE2,,,GND,,
,RD-,D-,,,USB,,
,RD+,D+,,,USB,,
,VUSB,VBUS,,,USB,,
,,,,,,,
TOP,,,,,,,
1,MISO,,,, 1-2,,
2,5V,,,, 3-4,,
3,SCK,,,, 5-6 ,,
4,MOSI,,,,,,
5,RESET,,,,,,
6,GND,,,,,,
,,,,,,,
USB,,,,,,,
1,VUSB,,,,,,
2,D-,,,,,,V24
3,D+,,,,,,V24
4,?,,,,,,
5,GND,,,,,,
